Role,Player,Club,Club Name,Squad,Owner,Purchase Price,Initial Quote,Current Quote,Current Gain/Loss,Games,Yellow Cards,Red Cards,Assists,Goals Scored,Penalties Scored,Missed Penalties,Goals Conceded,Penalties Saved,Clean Sheets,FM FP,MV FP,FM GdS,MV GdS,FM Sud,MV Sud
Portiere,Frattali,FRO,Frosinone,Free Agent,Free Agent,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Portiere,Mandas,LAZ,Lazio,Free Agent,Free Agent,0,1,1,0,1,0,0,0,0,0,0,0,0,0,6.0,6.0,6.0,6.0,6.0,6.0
Difensore,Dimarco,INT,Inter,Atletico Una Volta,Marce,27,20,26,-1,18,0,0,5,3,0,0,0,0,0,7.21,6.43,7.22,6.44,7.31,6.53
Difensore,Bremer,JUV,Juventus,Garda Che Squadra,Fracca,20,13,15,-5,22,3,0,0,2,0,0,0,0,0,6.45,6.25,6.5,6.3,6.66,6.45
Difensore,Di Lorenzo,NAP,Napoli,AC Ciughina,Carle,25,20,14,-11,21,4,0,4,1,0,0,0,0,0,6.21,5.98,6.12,5.88,6.14,5.95
Difensore,Acerbi,INT,Inter,AC Cipicchia,Nippon,11,10,13,2,18,1,0,1,1,0,0,0,0,0,6.44,6.25,6.53,6.33,6.39,6.19
Difensore,Buongiorno,TOR,Torino,Free Agent,Free Agent,0,10,13,0,19,5,0,0,3,0,0,0,0,0,6.66,6.32,6.87,6.53,6.66,6.32
Difensore,Danilo,JUV,Juventus,Vecchie Rocce,Damian,30,16,12,-18,16,4,0,1,1,0,0,0,0,0,6.28,6.16,6.16,6.03,6.19,6.13
Difensore,Carlos Augusto,INT,Inter,Atletico Una Volta,Marce,6,17,12,6,19,1,0,1,0,0,0,0,0,0,6.17,6.14,6.08,6.05,6.08,6.06
Difensore,Gatti,JUV,Juventus,AC Cipicchia,Nippon,3,6,12,9,19,5,0,0,3,0,0,0,0,0,6.26,6.03,6.26,6.03,6.37,6.13
Difensore,Dumfries,INT,Inter,Vecchie Rocce,Damian,26,14,10,-16,16,1,0,3,2,0,0,0,0,0,6.78,6.25,6.75,6.22,6.72,6.25
Difensore,Rrahmani,NAP,Napoli,Free Agent,Free Agent,0,14,10,0,16,3,0,0,1,0,0,0,0,0,5.86,5.77,5.81,5.72,5.81,5.72
Difensore,Zappacosta,ATA,Atalanta,Free Agent,Free Agent,0,15,10,0,19,4,0,1,1,0,0,0,0,0,6.08,5.97,6.0,5.89,6.18,6.08
Difensore,Mancini,ROM,Roma,Atletico Una Volta,Marce,6,10,10,4,20,5,0,0,2,0,0,0,0,0,6.23,6.05,6.2,6.03,6.25,6.08
Difensore,Posch,BOL,Bologna,Free Agent,Free Agent,0,15,9,0,16,5,0,1,0,0,0,0,0,0,5.92,6.02,5.91,6.0,5.84,5.94
Difensore,Scalvini,ATA,Atalanta,AC Ciughina,Carle,14,10,9,-5,19,2,0,1,0,0,0,0,0,0,5.8,5.8,6.08,6.08,6.05,6.05
